List of Listed Companies & Contact Information,,,,,,As of 08 May 2023,,,
Symbol,Company,Market,Industry,Sector,Address,Zip code,Tel.,Fax,Website
AJ,A.J. PLAST PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,"95 Thakarm Road, Samaedam, Bangkhuntien Bangkok",10150,"0-2415-0035, 0-2415-6059",0-2415-6068,www.ajplast.co.th
AJA,AJ ADVANCE TECHNOLOGY PUBLIC COMPANY LIMITED,SET,Consumer Products,Home & Office Products,"427/2 Rama 2 Road, Kwang Samaedum, Khet Bangkhuntian Bangkok",10150,0-2451-6888,0-2451-5490,www.ajthai.com
AKP,AKKHIE PRAKARN PUBLIC COMPANY LIMITED,mai,Services,-,"792 Moo 2 Soi 1C/1 Bangpoo Industrail Estate, Sukhumwit Rd., Bangpoo Mai, Mueang Samut Prakarn Samut Prakarn",10280,0-2323-0714-21,0-2323-0724,www.akkhie.com
AKR,EKARAT ENGINEERING PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"U.M. TOWER, FLOOR 28, 9/291 RAMKHAMHAENG ROAD, SUAN LUANG Bangkok",10250,0-2719-8777,02-719-8760-2,http://www.ekarat.co.th
ALL,ALL INSPIRE DEVELOPMENT PUBLIC COMPANY LIMITED,mai,Property & Construction,-,"4345 Bhiraj Tower at Bitec, 18th floor, Sukhumvit road, Bangna sub-district, Bangna district Bangkok",10260,0-2029-9988,-,www.allinspire.co.th
ALLA,ALLA PUBLIC COMPANY LIMITED,SET,Industrials,Industrial Materials & Machinery,"933 935 937 939 Soi Onnut 46, Onnut Road, Onnut, Suanluang Bangkok",10250,"0-2322-0777, 0-2721-5699",0-2322-1891-2,www.alla.co.th
ALLY,ALLY LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,Property & Construction,Property Fund & REITs,"888 Praditmanutham Rd., Klongjan, Bangkapi Bangkok",10240,0-2101-5999,-,www.allyreit.com
ALPHAX,ALPHA DIVISIONS PUBLIC COMPANY LIMITED,mai,Consumer Products,-,"98 Athakravi Building 1, Floor 5, Soi Aree, Sukhumvit Road, Klong Tan Sub-district, Klong Toei District Bangkok",10110,0-2077-5853,-,www.alphadivisions.com
ALT,ALT TELECOM PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,"52/1 Moo 5 Bangkruay - Sai Noi road, Bang Sithong sub-district, Bang Kruay district Nonthaburi",11130,0-2863-8999,0-2886-3364,www.alt.co.th
ALUCON,ALUCON PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,"500 MOO 1, SOI SIRIKAM, SUKHUMVIT 72 ROAD, AMPHOE MUEANG Samut Prakarn",10270,"0-2398-0147, 0-2398-4601","0-2398-3455, 0-2361-2511",www.alucon.th.com
AMA,AMA MARINE PUBLIC COMPANY LIMITED,mai,Services,-,"33/4 the ninth Tower A, 33rd Floor, Room #TNA02, Rama 9 Road, Huaykwang Bangkok",10310,0-2001-2801,0-2001-2800,www.amamarine.co.th
AMANAH,AMANAH LEASING PUBLIC COMPANY LIMITED,SET,Financials,Finance & Securities,"16-16/1 PHAYATHAI ROAD, WANGMAI, PATHUM WAN Bangkok",10330,0-2091-6456,0-2030-6401,http://www.amanah.co.th
AMARC,ASIA MEDICAL AND AGRICULTURAL LABORATORY AND RESEARCH CENTER PUBLIC COMPANY LIMITED,mai,Services,-,"361 Soi Ladprao 122, Ladprao Road, Phlabphla, Wang Thonglang Bangkok",10310,0-2516-2422,0-2516-6949,http://amarc.co.th/
AMARIN,AMARIN PRINTING AND PUBLISHING PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,"378 CHAIYAPRUK ROAD, TALING-CHAN Bangkok",10170,0-2422-9999,"0-2434-3555, 0-2434-3777",http://www.amarin.com
AMATA,AMATA CORPORATION PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"KROMADIT BLDG, 2126 NEW PETCHBURI ROAD, BANG KAPI, HUAI KHWANG Bangkok",10310,"0-2318-0007, 0-2792-0000",0-2318-1096,http://www.amata.com
AMATAR,AMATA SUMMIT GROWTH FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,Property & Construction,Property Fund & REITs,"2126 Kromadit Building, New Petchburi Road, Bangkapi, Huay kwang Bangkok",10320,0-2792-0089,0-2792-0090,www.amatareit.com
AMATAV,AMATA VN PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"2126 New Petchaburi road, Bangkrapi, Huay Kwang Bangkok",10310,0-2792-0000,0-2318-1096,http://www.amatavn.com
AMC,ASIA METAL PUBLIC COMPANY LIMITED,SET,Industrials,Steel and Metal Products,"55, 55/1 MOO 2 SOI WATNAMDANG, SRINAKARIN ROAD, AMPHOE BANG PHLI Samut Prakarn",10540,0-2383-4100,0-2383-4101-2,www.asiametal.co.th
AMR,AMR ASIA PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,"469 Soi Prawit Lae Phuean, Prachachuen Road, Lad Yao, Chatuchak Bangkok",10900,0-2589-9955,0-2591-7022,https://www.amrasia.com
ANAN,ANANDA DEVELOPMENT PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"No. 99/1 Moo 14 Soi Wind Mill Village, Bangna-Trad Road (k.m.10.5), Bangpleeyai, Bangplee Samut Prakarn",10540,0-2317-1155,0-2317-1100,http://www.ananda.co.th
AOT,AIRPORTS OF THAILAND PUBLIC COMPANY LIMITED,SET,Services,Transportation & Logistics,333 CHERDWUTAGARD ROAD DON MUEANG Bangkok,10210,0-2535-1111,"0-2531-5559, 0-2535-4061",www.airportthai.co.th
AP,AP (THAILAND) PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"OCEAN TOWER 1, FLOOR 18, 170/57, RACHADAPISEK ROAD, KHLONG TOEI Bangkok",10110,"0-2261-2518-22, 0-2261-2285-7",0-2261-2548-9,www.apthai.com
APCO,ASIAN PHYTOCEUTICALS PUBLIC COMPANY LIMITED,SET,Consumer Products,Personal Products & Pharmaceuticals,"84/3 Moo 4, Northern Region Industrial Estate (West), Banklang Subdistrict, Muang District Lamphun",51000,0-5358-1374,0-5358-1375,http://www.apco.co.th
APCS,ASIA PRECISION PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Services,"223/53, 13th Floor, Country Complex Tower A, Sunphawut Road, Bangna Tai Subdistrict, Bangna District Bangkok",10260,-,-,www.apcs.co.th
