List of Listed Companies & Contact Information,,,,,,As of 08 May 2023,,,
Symbol,Company,Market,Industry,Sector,Address,Zip code,Tel.,Fax,Website
MONO,MONO NEXT PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,"Address 29/9 Moo 4, Chaiyapruk Road, Tambon Bang Phlap, Amphur Pakkred Nonthaburi",11120,0-2100-8100,0-2100-8101,www.mono.co.th
MOONG,MOONG PATTANA INTERNATIONAL PUBLIC COMPANY LIMITED,mai,Consumer Products,-,"No. 2/97-104 18th-19th Floor, Bangna Complex Office Tower, Soi Bangna-Trad 25, Bangna-Trad Road, Bang Na Nuea, Bangna Bangkok",10260,0-2020-8999,0-2020-8990,www.moongpattana.com
MORE,MORE RETURN PUBLIC COMPANY LIMITED,mai,Services,-,"222/148-150, Baan Suan Chatuchak Condominium, Soi Vibhavadi Rangsit 17 Vibhavadi Rangsit Road, Chatuchak Sub-district, Chatuchak District Ba",10900,0-2120-6804,-,www.morereturn.co.th
MOSHI,Moshi Moshi Retail Corporation Public Company Limited,SET,Services,Commerce,"26/18 Moo 10, Bangkhuntien Sub-district, Chom Thong District Bangkok",10150,0-2891-3088,-,www.moshimoshi.co.th
M-PAT,MFC PATONG HERITAGE PROPERTY FUND,SET,Property & Construction,Property Fund & REITs,"199 Column Tower Ground floor & 21st - 23rd floor, Ratchadapisek road, Klongtoey Bangkok",10110,0-2649-2000,0-2649-2100,www.mfcfund.com
MPIC,M PICTURES ENTERTAINMENT PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,"234 Suzuki Avenue Building (Ratchayothin), 13th Floor, Ratchadapisek Road, Ladyao, Jatuchak, Bangkok",10900,0-2512-0300,0-2512-0301-2,http://www.mpictures.co.th
MSC,METRO SYSTEMS CORPORATION PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,"400 Chalermprakiat Rama IX Road, Nong Bon, Prawet Bangkok",10250,0-2089-4000,0-2726-2630-4,www.metrosystems.co.th
MST,MAYBANK SECURITIES (THAILAND) PUBLIC COMPANY LIMITED,SET,Financials,Finance & Securities,"999/9 The offices at Central World, 20th - 21st and 25th Floor, Rama I Road, Pathumwan Sub-District, Pathumwan District Bangkok",10330,0-2658-6300,0-2658-6301,www.maybank-ke.co.th
M-STOR,MFC-STRATEGIC STORAGE FUND,SET,Property & Construction,Property Fund & REITs,"199 Column Tower, Ground Floor & 21st-23rd Floor, Ratchadapisek Road, Klongtoey Bangkok",10110,0-2649-2000,0-2649-2100,www.mfcfund.com
MTC,MUANGTHAI CAPITAL PUBLIC COMPANY LIMITED,SET,Financials,Finance & Securities,"No.332/1 Jaransanitwong Road, Bangplad Sub-district, Bangplad District Bangkok",10700,0-2483-8888,-,www.muangthaicap.com
MTI,MUANG THAI INSURANCE PUBLIC COMPANY LIMITED,SET,Financials,Insurance,"252, Ratchadapisek Road, Huaykwang Bangkok",10310,0-2290-3333,0-2276-2033,www.muangthaiinsurance.com
MTW,MAKE TO WIN HOLDING PUBLIC COMPANY LIMITED,mai,Industrial,-,"No. 9/70,9/88 Moo 3, Om Yai, Sam Phran Nakorn Phathom",73160,0-3410-0368,0-3410-0368 Ext. 16,www.maketowin.com
MUD,MUD & HOUND PUBLIC COMPANY LIMITED,mai,Agro & Food Industry,-,"206, Soi Pattanakarn 20, Suan Luang Sub-District, Suan Luang District Bangkok",10250,0-2079-9765,0-2079-9755,www.mudman.co.th
MVP,M VISION PUBLIC COMPANY LIMITED,mai,Services,-,"11/1 Soi Ramkhamhaeng 121 Hua Mak, Bang Kapi Bangkok",10240,"0-2735-1201, 0-2735-1202, 0-2735-1204",0-2735-2719,www.mvisioncorp.com
NATION,NATION GROUP (THAILAND) PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,"1854, 9th, 10th, 11st Floor, Debaratana Road, Bangna-Tai Sub-District, Bangna District Bangkok",10260,-,-,http://www.nationgroup.com
NC,NEWCITY (BANGKOK) PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,"666 RAMA 3 ROAD, BANGPONGPANG, YAN NAWA Bangkok",10120,0-2294-6999,0-2294-3803,www.newcity.co.th
NCAP,NEXT CAPITAL PUBLIC COMPANY LIMITED,SET,Financials,Finance & Securities,"163 Thaisamut Building, 15th floor, Surawong road, Suriyawong, Bangrak Bangkok",10500,0-2096-6990,0-2096-6989,www.nextcapital.co.th
NCH,N. C. HOUSING PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"1/765 MOO 17 PHAHOLYOTHIN K.M. 26, TAMBOL KUKOD, AMPHOE LAM LUK KA Pathum Thani",12130,0-2993-5080-7,0-2533-7767,http://www.ncgroup.co.th
NCL,NCL INTERNATIONAL LOGISTICS PUBLIC COMPANY LIMITED,mai,Services,-,"56/9-10 Soi Taksin 12/1, Taksin Road, Bukkalo, Thonburi Bangkok",10600,0-2473-7351,0-2473-7374,www.nclthailand.com
NDR,N.D. RUBBER PUBLIC COMPANY LIMITED,mai,Industrial,-,"129 Moo 3 Nongchak-Phanasnikom Rd., Nongeiroon Banbueng Chonburi",20220,0-3816-0707,0-3816-0706,www.ndrubber.co.th
NEP,NEP REALTY AND INDUSTRY PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,"41 Soi Phaholyothin 5, Phaholyothin Road, Phayathai, Phayathai Bangkok",10400,0-2271-4213-16,0-2271-4416,www.nep.co.th
NER,NORTH EAST RUBBER PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Agribusiness,398 Moo. 4 Kokma Subdistrict Prakhonchai District Buriram,31140,"0-4466-6928, 0-4466-6929","0-4466-6212, 0-4466-6213",http://www.nerubber.com
NETBAY,NETBAY PUBLIC COMPANY LIMITED,mai,Technology,-,"No. 719/5,8-9 Rama 6 Road, Wang mai, Pathumwan Bangkok",10330,0-2620-1800,0-2612-3051,http://www.netbay.co.th
NEW,WATTANA KARNPAET PUBLIC COMPANY LIMITED,SET,Services,Health Care Services,"70/7-8 SUPHAKITJANYA ROAD, MAKKHAENG,AMPHOE MUANG Udon Thani",41000,"0-4224-1031-3, 0-4224-6181-3",0-4224-1956,www.wattanahospital.net
NEWS,NEWS NETWORK CORPORATION PUBLIC COMPANY LIMITED,mai,Services,-,"944 Mitrtown Office Tower, 28th Floor, Units 2807-2810, Rama 4 Road, Wangmai, Pathumwan Bangkok",10330,0-2273-8351,0-2273-8359,www.newsnetwork.co.th
NEX,NEX POINT PUBLIC COMPANY LIMITED,SET,Technology,Electronic Components,"999/999 Moo 4 Bangchalong, Bang Phli Samut Prakarn",10540,0-2026-3599,0-2116-4878,www.nexpoint.co.th
NFC,NFC PUBLIC COMPANY LIMITED,SET,Industrials,Petrochemicals & Chemicals,"88 SC Group Building, 3rd Floor, The Park Land Rd., Bangna Nuea, Bangna Bangkok",10260,0-2348-0580-6,0-2348-0578-9,www.nfc.co.th
NKI,THE NAVAKIJ INSURANCE PUBLIC COMPANY LIMITED,SET,Financials,Insurance,"SATHON THANI COMPLEX, FL 26-27, 100/50-55, 90/4-6 NORTH SATHON ROAD, SILOM, BANG RAK Bangkok",10500,"0-2636-7900 , 0-2238-5058","0-2636-7999, 0-2636-7998",www.navakij.co.th
NNCL,NAVANAKORN PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"999 Moo 13, Phaholyothin Road, Klong Nueng, Klong Luang Pathum Thani",12120,0-2529-0031-5,0-2529-2176,www.navanakorn.co.th
NOBLE,NOBLE DEVELOPMENT PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"NOBLE Building, 1035 Ploenchit Road, Lumpini, Pathumwan Bangkok",10330,0-2251-9955,0-2251-9977,www.noblehome.com
NOK,NOK AIRLINES PUBLIC COMPANY LIMITED,SET,Services,Transportation & Logistics,"222 Don Mueang International Airport, Central Building, Room No.4235, 4th Floor, Vibhavadi Rangsit Road, Sanambin Sub-district, Don Mueang B",10210,0-2627-2000,-,www.nokair.com
NOVA,NOVA EMPIRE PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"No. 88 Soi Bangna-Trad 30, Theprattana Road, Bangna Tai, Bangna Bangkok",10260,-,-,www.tiw.co.th
NPK,NEW PLUS KNITTING PUBLIC COMPANY LIMITED,mai,Consumer Products,-,"34 Moo 20 Suvintawong Road, Saladang, Bangnumpeaw Chacherngsao",24000,"0-3859-3129-30 , 0-3859-3133",0-3884-6040,https://www.newplus.co.th/
NRF,NR INSTANT PRODUCE PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"No. 99/1 Moo 4, Kaerai, Krathumbaen Samut Sakhon",74110,0-3484-9576-80,0-3484-9586,https://www.nrinstant.com/
NSL,NSL FOODS PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"55/22 Moo 3, Bangbuathong-Nonthaburi Bridge (345) Road, Tambol Lampho, Ampher Bang bua thong Nonthaburi",11110,0-2525-8520,0-2525-8538,www.nslfoods.com
NTSC,Nutrition SC Public Company Limited,mai,Agro & Food Industry,-,"47/2 Moo 6, Phutthamonthon Sai 4 Road, Krathum Lom, Sam Phran Nakorn Phathom",73220,0-2840-4333,-,https://nutritionsc.co.th
NTV,NONTHAVEJ HOSPITAL PUBLIC COMPANY LIMITED,SET,Services,Health Care Services,"30/8 MOO 2, NGAMWONGWAN ROAD, BANGKHEN, AMPHOE MUANG Nonthaburi",11000,0-2596-7888,0-2589-8753,www.nonthavej.co.th
NUSA,NUSASIRI PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"No. 2922/209 Charn Issara Tower 2, 13th floor (12 A) New Petchburi Road, Bangkapi, Huay Kwang Bangkok",10310,0-2030-1399,-,www.nusasiri.com
NV,NOVA ORGANIC PUBLIC COMPANY LIMITED,SET,Consumer Products,Personal Products & Pharmaceuticals,"Nai Khlong Bang Plakot Sub Dist Rd., Tumbol Nai Khlong Bang Plakot, Amphoe Phra Samut Chedi Samut Prakarn",10290,0-2408-6778,0-2408-6778,https://www.nova-organic.com
NVD,NIRVANA DEVELOPMENT PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"No.343/351 Prasert - Manukitch Rd., Nuanchan, Buengkum Bangkok",10230,0-2105-6789,0-2105-6787,http://www.nirvanadaii.com
NWR,NAWARAT PATANAKARN PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Services,"BANGNA TOWER A, 2/3 MOO 14, BANGNA-TRAD ROAD, K.M. 6.5, TAMBOL BANGKAEW, AMPHOE BANGPLEE Samut Prakarn",10540,"0-2730-2100, 0-2751-9455-74","0-2751-9487, 0-2751-9484-5",www.nawarat.co.th
NYT,NAMYONG TERMINAL PUBLIC COMPANY LIMITED,SET,Services,Transportation & Logistics,"19th Floor Lumpini Tower (Room No. 1168/52) Rama 4 Road, Thungmahamek, Sathorn Bangkok",10120,0-2679-7357,0-2285-6642,www.namyongterminal.com
OCC,O.C.C. PUBLIC COMPANY LIMITED,SET,Consumer Products,Personal Products & Pharmaceuticals,"729/4-7 RAJADAPISEK ROAD, BANGPHONGPHANG, YAN NAWA Bangkok",10120,"0-2295-4545, 0-2295-4567",0-2295-0415,www.occ.co.th
OGC,OCEAN GLASS PUBLIC COMPANY LIMITED,SET,Consumer Products,Home & Office Products,"75/88-90, 34th Floor, Ocean Tower II, Sukhumvit 19 (Soi Wattana), North-Klongtoey, Wattana Bangkok",10110,0-2661-6556,0-2661-6550,http://www.oceanglass.com
OHTL,OHTL PUBLIC COMPANY LIMITED,SET,Services,Tourism & Leisure,"48 ORIENTAL AVENVE, NEW ROAD, BANG RAK, Bangkok",10500,0-2659-9000,0-2659-0000,https://www.mandarinoriental.com/en/bangkok
OISHI,OISHI GROUP PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"Unit B3601, 36th Floor, No. 90 CW Tower, Ratchadapisek Road, Huai Khwang, Huai Khwang Bangkok",10310,0-2768-8888,0-2768-8889,www.oishigroup.com
ONEE,THE ONE ENTERPRISE PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,"Gmm Grammy Place Bldg. Sukhumvit 21 (Asok) Rd., Khlong Toei Nuea, Vadhana Bangkok",10110,0-2669-9697,-,www.theoneenterprise.com
OR,PTT OIL AND RETAIL BUSINESS PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"555/2 Energy Complex, Building B, 12th Floor, Vibhavadi Rangsit Road, Chatuchak, Chatuchak Bangkok",10900,0-2196-5959,-,www.pttor.com
ORI,ORIGIN PROPERTY PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"496 Moo.9 Samrong Nuae District, Muaeng Samutprakarn Samut Prakarn",10270,0-2030-0000,0-2029-1939,www.origin.co.th
OSP,OSOTSPA PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"348 Ramkhamhaeng Road Hua Mak, Bang Kapi Bangkok",10240,0-2351-1000,0-2351-1125,www.osotspa.com
OTO,ONE TO ONE CONTACTS PUBLIC COMPANY LIMITED,mai,Services,-,"99/26 Moo 4, Software Park 9 Fl., Chaengwattana Rd., Klong Gluar, Pak-kred Nonthaburi",11120,0-2685-0000,-,www.onetoonecontacts.com
PACE,PACE DEVELOPMENT CORPORATION PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"No. 53 Sivatel Tower, 16th Floor, Room No. 1606, Wireless Road, Lumpini Subdistrict, Pathumwan District Bangkok",10330,0-2118-9599,0-2118-9598,http://www.pacedev.com
PACO,PRESIDENT AUTOMOBILE INDUSTRIES PUBLIC COMPANY LIMITED,mai,Industrial,-,"88/8 Moo.9, Soi WorPorAor.11(Piset), Satetakit 1 Road, Suanluang, Krathum Baen Samut Sakhon",74110,0-2810-9900,"0-2810-0526-8 ext. 321, 307",www.paco.co.th
PAF,PAN ASIA FOOTWEAR PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,No. 177/20 Moo 5 Nongkham Sriracha Chonburi,20230,0-3848-0020-1,0-3848-0080,http://www.panasiafootwear.com
PAP,PACIFIC PIPE PUBLIC COMPANY LIMITED,SET,Industrials,Steel and Metal Products,"LUMPINI TOWER, FLOOR 26, 1168/74 RAMA IV ROAD Bangkok",10120,0-2679-9000,0-2679-9075,http://www.pacificpipe.co.th
PATO,PATO CHEMICAL INDUSTRY PUBLIC COMPANY LIMITED,SET,Industrials,Petrochemicals & Chemicals,"3388 NEW PETCHBURI ROAD, BANG KAPI, HUAI KHWANG Bangkok",10310,"0-2318-5612-19, 0-2318-0360-9",0-2318-0367,www.patochemical.com
PB,PRESIDENT BAKERY PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"RS TOWER, FLOOR 29, 121/84-85 RATCHADAPISEK ROAD, DIN DAENG Bangkok",10400,02-209-3000,02-209-3091,http://www.farmhouse.co.th
PCC,Precise Corporation Public Company Limited,SET,Resources,Energy & Utilities,"1842 Krungthep-Nonthaburi Road, Wongsawang, Bangsue Bangkok",10800,02-910-9700,-,http://www.precise.co.th
PCSGH,P.C.S. MACHINE GROUP HOLDING PUBLIC COMPANY LIMITED,SET,Industrials,Automotive,"No. 2/1-9, Moo 3, Kokgroad Sub-district, Muang Nakorn-Rajsima District Nakhon Ratchasima",30280,0-4470-1300,0-4470-1399,www.pcsgh.com
PDG,PRODIGY PUBLIC COMPANY LIMITED,mai,Industrial,-,"7/3 Moo 3 Bangkrabau, Nakornchaisri Nakorn Phathom",73120,0-3433-2611-2,0-3433-2613,www.prodigy.co.th
PDJ,PRANDA JEWELRY PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,28 Soi Bangna-Trade 28 Bangna Tai Bangna Bangkok,10260,"0-2769-9999, 0-2361-3311","0-2398-2143, 0-2399-4874",www.pranda.com
PEACE,PEACE & LIVING PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"231/14 Soi Ekamai 7, Sukhumwit 63 Road, Klong Tan Nua Sub-District, Wattana District Bangkok",10110,0-2392-1066-8,-,http://www.peaceandliving.co.th
PERM,PERMSIN STEEL WORKS PUBLIC COMPANY LIMITED,SET,Industrials,Steel and Metal Products,"4, 95-96 Moo 6, Tumbol Khok-kam, Amphur Muang Samut Sakhon",74000,0-3482-5090-100,"0-3482-5078, 0-3482-5079, 0-3482-5081",www.permsin.com
PF,PROPERTY PERFECT PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"VORASOMBAT BLDG, FLOOR 17, 100/1 RAMA IX RD, HUAI KHWANG Bangkok",10320,0-2245-6640-7,0-2247-3328,www.pf.co.th
PG,PEOPLE'S GARMENT PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,"666 RAMA III ROAD, BANGPHONGPHANG, YAN NAWA Bangkok",10120,0-2685-6500,0-2294-5159,www.pg.co.th
PHOL,PHOL DHANYA PUBLIC COMPANY LIMITED,mai,Services,-,"1/11 Moo 3, Lumlookka Rd., Ladsawai, Lumlookka Pathum Thani",12150,0-2791-0111,0-2791-0100-2,http://www.pdgth.com
PICO,PICO (THAILAND) PUBLIC COMPANY LIMITED,mai,Services,-,"10 SOI LASALLE 56, BANGNA TAI, BANGNA Bangkok",10260,0-2748-7007,"0-2745-8521, 0-2748-7591",www.picothai.com
PIMO,PIONEER MOTOR PUBLIC COMPANY LIMITED,mai,Industrial,-,"78, 78/4, 78/5 Moo3 Dontoom-Nakornchaisri Rd., Donfaek, Nakornchaisri Nakorn Phathom",73120,0-3426-5111-8,0-3426-5119,www.pioneermotor.th.com
PIN,PINTHONG INDUSTRIAL PARK PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"No. 789, Moo1, Sai NongKhor-Laem Chabang Road, Nong Kham, Sriracha Chonburi",20230,0-2294-0066 Ext. 291,-,https://www.pinthongindustrial.com/
PJW,PANJAWATTANA PLASTIC PUBLIC COMPANY LIMITED,SET,Industrials,Packaging,"No. 19 and 21 Soi Ekkachai 63, Ekkachai Road, Bang Bon Sub-district, Bang Bon District Bangkok",10150,0-2415-1894,0-2415-0951,www.pjw.co.th
PK,PATKOL PUBLIC COMPANY LIMITED,SET,Industrials,Industrial Materials & Machinery,"348 CHELERMPRAKIAT RAMA 9 ROAD, NOGBON, PRAWET Bangkok",10250,0-2328-1032-49,"0-2328-1245, 0-2328-1058",www.patkol.com
PL,PHATRA LEASING PUBLIC COMPANY LIMITED,SET,Financials,Finance & Securities,"MUANGTHAI-PHATRA COMPLEX, FLOOR 29, 252/6 RAJADAPISEK ROAD, HUAI KHWANG, Bangkok",10320,0-2693-2288,0-2693-2298-99,www.pl.co.th
PLANB,PLAN B MEDIA PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,"No. 1700, Plan B Tower, New Petchburi Road, Makkasan, Ratchathewi, Bangkok Bangkok",10400,0-2530-8053-6,0-2530-8057,www.planbmedia.co.th
PLANET,PLANET COMMUNICATIONS ASIA PUBLIC COMPANY LIMITED,mai,Technology,-,"157 Soi Ramindra 34, Ramindra Road, Tarang, Bangkhen Bangkok",10230,0-2792-2400,0-2792-2499,www.planetcomm.com
PLAT,THE PLATINUM GROUP PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"no.222/1398, floor 11, the Platinum Fashion Mall Building, Petchaburi Road, Petchaburi Road Sub-District, Ratchatewi District Bangkok",10400,0-2121-9999,0-2121-9000,http://theplatinumgroup.co.th
PLE,POWER LINE ENGINEERING PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Services,"2 SOI SUKHUMVIT 81 (SIRIPOT), SUKHUMVIT ROAD BANGJAK, PHRA KHANONG Bangkok",10260,0-2332-0345,0-2311-0851,http://www.ple.co.th
PLT,Pilatus Marine Public Company Limited,mai,Services,-,"84/1-4 Young Place Grand Le Jardin 1st?4th Floor, Soi Phahon Yothin 37, Lat Yao, Chatuchak Bangkok",10900,0-2930-1801-10,0-2512-2365,www.pilatusmarine.co.th
PLUS,Royal Plus Public Company Limited,SET,Agro & Food Industry,Food & Beverage,"84/3-7 Soi. Rama II Soi 69 Samae Dam, Bang Khun Thian Bangkok",10150,0-2416-9209,0-2416-0219,www.royalplus.co.th
PM,PREMIER MARKETING PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"No. 1 Premier Corporate Park, Soi Premier 2, Srinakarin Road, Nongbon Sub-district, Prawet District Bangkok",10250,0-2301-1000,0-2301-1020,www.premier-marketing.co.th
PMTA,PM THORESEN ASIA HOLDINGS PUBLIC COMPANY LIMITED,SET,Industrials,Petrochemicals & Chemicals,"26/26-27 Orakarn Building, 8th Floor, Soi Chidlom, Ploenchit Road, Lumpini, Pathumwan Bangkok",10330,0-2250-0569,0-2657-1040,http://www.pmthoresenasia.com
POLAR,POLARIS CAPITAL PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"503/34, K.S.L. Tower Building, 18th Floor, Sri-Ayutthaya Road, Thanon Phayathai, Ratchathewi Bangkok",10400,-,-,www.polariscap.co.th
POLY,Polynet Public Company Limited,SET,Industrials,Automotive,888 Moo. 11 Bangsaotong District Samut Prakarn,10570,0-2397-9094,0-2397-9097,https://www.polynet.co.th
POMPUI,KUANG PEI SAN FOOD PRODUCTS PUBLIC COMPANY LIMITED,SET,-,Companies Under Rehabilitation,"No.43 Tanasan Building, Chiang Mai Road, Klongsan Sub District, Klongsan District Bangkok",10600,0-2863-3288,0-2863-3133,www.smilingfish.com
POPF,PRIME OFFICE LEASEHOLD PROPERTY FUND,SET,Property & Construction,Property Fund & REITs,"7-8th Floor, SCB Park Plaza 1, 18 Ratchadapisek Rd., Chatuchak Bangkok",10900,0-2949-1500,0-2949-1501,www.scbam.com
PORT,SAHATHAI TERMINAL PUBLIC COMPANY LIMITED,SET,Services,Transportation & Logistics,"51/1 Moo.3, Poo Jao Saming Prai Rd., Prapadaeng Samut Prakarn",10130,0-2386-8000,0-2386-8008,http://sahathaiterminal.com/
POST,BANGKOK POST PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,"BANGKOK POST BLDG, 136 SUNTHONKOSA ROAD, KHLONG TOEI Bangkok",10110,0-2616-4000,0-2240-3790,https://www.bangkokpost.co.th/
PPF,PINTHONG INDUSTRIAL PARK PROPERTY FUND,SET,Property & Construction,Property Fund & REITs,"7-8th Floor, SCB Park Plaza 1, 18 Ratchadapisek Rd., Chatuchak Bangkok",10900,0-2949-1500,0-2949-1501,www.scbam.com
PPM,PORN PROM METAL PUBLIC COMPANY LIMITED,mai,Industrial,-,"229 NAKHONRATCHASIMA ROAD, DUSIT Bangkok",10300,0-2628-6100,0-2628-8591,www.ppm.co.th
PPP,PREMIER PRODUCTS PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Materials,"2 Premier Place Soi Premier 2 Srinakarin Road, Nong Bon Pravet Bangkok",10250,"0-2301-2100, 0-2301-2101",0-2398-1301,www.premier-products.co.th
PPPM,PP PRIME PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Agribusiness,"62-62/1 Moo 2 Rorporchor U-tapao Road, Nong Chumphon Subdistrict, Khao Yoi District Phetchaburi",76140,0-3289-9881-4,0-3289-9885,https://www.ppprime.co.th/
PPS,PROJECT PLANNING SERVICE PUBLIC COMPANY LIMITED,mai,Property & Construction,-,"381/6 Soi Rama IX 58 (Soi 7 Seree 7), Rama IX Road, Suanluang Bangkok",10250,0-2718-2785-9,0-2300-5545-6,www.pps.co.th
PQS,Premier Quality Starch Public Company Limited,SET,Agro & Food Industry,Food & Beverage,"185 Moo. 14, Kham Pa Lai, Mueang Mukdahan Mukdahan",49000,0-4264-3818,0-4264-3819,https://www.pqstarch.com
PR9,PRARAM 9 HOSPITAL PUBLIC COMPANY LIMITED,SET,Services,Health Care Services,"99 Rama IX Road, Bang Kapi, Huaykwang Bangkok",10310,0-2202-9999,0-2202-9998,http://www.praram9.com
PRAKIT,PRAKIT HOLDINGS PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,"88 SOI SUKHUMVIT 62 SECTION 3, PHRA KHANONG TAI, PHRA KHANONG Bangkok",10260,0-2332-8555,"0-2332-8522, 0-2332-8544",http://www.prakit.com
PRAPAT,PEERAPAT TECHNOLOGY PUBLIC COMPANY LIMITED,mai,Industrial,-,"406 Ratchadaphisek Road, Samsen Nok, Huai Khwang Bangkok",10310,0-2290-1234,0-2290-1249,https://www.peerapat.com
PREB,PRE-BUILT PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Services,"503 Floor 1 Bond Street Road, Bangpood, Pakkred Nonthaburi",11120,0-2960-1380-89,0-2960-1392,www.prebuilt.co.th
PRECHA,PREECHA GROUP PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"1919 PATTANAKARN ROAD, SUAN LUANG Bangkok",10250,0-2722-8855,0-2722-8844,www.preecha.com
PRG,PRG CORPORATION PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"88 MOO 2, TIWANONT ROAD, BANGKADEE, AMPHOE MUENG Pathum Thani",12000,0-2501-2175,0-2501-2176,www.prg.co.th
PRI,Primo Service Solutions Public Company Limited,mai,Property & Construction,-,"No. 496, Moo 9, Soi Baering 16, Tambon Sam Rong Nua, Amphoe Mueang Samut Prakan Samut Prakarn",10270,0-2081-0000,-,www.primo.co.th
PRIME,PRIME ROAD POWER PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"No. 1, TP&T Tower, 22nd Floor, Soi Vibhavadi Rangsit 19, Vibhavadi Rangsit Road, Chatuchak, Chatuchak Bangkok",10900,0-2105-8686,0-2257-7006,www.primeroadpower.com
PRIN,PRINSIRI PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"246 Watcharapon Road, Tha Raeng, Bangkhen Bangkok",10220,0-2022-8988,-,http://www.prinsiri.com
PRINC,PRINCIPAL CAPITAL PUBLIC COMPANY LIMITED,SET,Services,Health Care Services,"23rd Floor, Bangkok Business Center, 29 Sukhumvit 63, Klongton Nua, Wattana Bangkok",10110,0-2714-2171-3,0-2714-2185,www.principalcapital.co.th
PRM,PRIMA MARINE PUBLIC COMPANY LIMITED,SET,Services,Transportation & Logistics,"No. 80 Soi Bangna-Trad 30, Bangna Tai Sub-district, Bangna District Bangkok",10260,0-2016-0190-4,0-2016-0199,www.primamarine.co.th
PRO,PROFESSIONAL WASTE TECHNOLOGY (1999) PUBLIC COMPANY LIMITED,SET,Services,Professional Services,"1184/38-39 Soi Phahonyothin 32, Phahonyothin Rd., Chadrakasem Subdistrict, Chatuchak District Bangkok",10900,0-2942-9480-2,0-2561-0591,www.prowaste.co.th
PROEN,PROEN CORP PUBLIC COMPANY LIMITED,mai,Technology,-,"72 NT Bangrak Building 4th, 18th Fl., Charoen Krung Road, Bangrak, Bangrak Bangkok",10500,"0-2690-3888, 0-2639-7888","0-2639-7892, 0-2691-1898",https://www.proen.co.th/
PROS,PROSPER ENGINEERING PUBLIC COMPANY LIMITED,mai,Property & Construction,-,"11 Soi Nakniwat 20, Nakniwat Road, Ladphrao Bangkok",10230,0-2514-3113,0-2514-3553,www.prosperengineering.co.th
PROSPECT,PROSPECT LOGISTICS AND INDUSTRIAL FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,Property & Construction,Property Fund & REITs,"No. 345, 345 Surawong Building, 5th Floor, Surawong Road, Suriyawong, Bangrak Bangkok",10500,0-2697-3788,0-2697-3794,www.prospectreit.com
PROUD,PROUD REAL ESTATE PUBLIC COMPANY LIMITED,mai,Property & Construction,-,"No. 900 Tonson Tower, 6th Floor, Ploenchit Road, Lumpini Sub-district, Pathumwan District Bangkok",10330,0-2035-0999,0-2035-0998,www.proudrealestate.co.th
PRTR,PRTR Group Public Company Limited,SET,Services,Professional Services,"2034/82 Ital-Thai Tower, 18th Floor, New Petchburi Road, Bangkapi, Huaykwang Bangkok",10310,0-2716-0000,-,https://www.prtr.com/
